"Symbol","Action","Price","Date","Time"
"SNDK","BUY",835.65,2026-04-09,"14:17:12"
"FIX","BUY",1581.605,2026-04-09,"14:17:08"
"INTC","BUY",60.5933,2026-04-09,"14:17:02"
"ERAS","BUY",14.6,2026-03-20,"18:28:54"
"FIX","BUY",1356.75,2026-03-20,"18:27:52"
"ORCL","BUY",163.12,2026-03-12,"01:38:15"
"WDC","HOLD",268.81,2026-03-12,"01:38:00"
"TGT","HOLD",118.78,2026-03-12,"01:37:39"
"WMT","HOLD",123.49,2026-03-12,"01:37:27"
"LLY","HOLD",999.84,2026-03-12,"01:37:04"
"FIX","HOLD",1407.32,2026-03-12,"01:36:58"
"LLY","HOLD",983.26,2026-03-05,"22:20:04"
"NVDA","HOLD",183.34,2026-03-05,"22:19:40"
"SNDK","BUY",565.59,2026-03-05,"22:19:25"
"WDC","BUY",259.03,2026-03-05,"22:19:12"
"ERAS","BUY",15.54,2026-03-05,"22:18:50"
"DE","BUY",590.69,2026-03-05,"22:18:33"
"CAT","BUY",706.08,2026-03-05,"22:18:31"
"FIX","BUY",1348.22,2026-03-05,"22:18:10"
"INTC","HOLD",45.95,2026-03-05,"22:17:54"
"COMP","HOLD",9.36,2026-03-05,"22:17:31"
"TGT","BUY",120.36,2026-03-05,"22:17:14"
"WMT","BUY",123.31,2026-03-05,"22:16:53"
"INTC","HOLD",43.63,2026-02-23,"18:34:53"
"FIX","BUY",1413.57,2026-02-23,"18:34:12"
"TGT","HOLD",113.34,2026-02-23,"18:33:57"
"WMT","HOLD",125.81,2026-02-23,"18:33:40"
"COMP","SELL",9.08,2026-02-23,"18:33:17"
"CAT","BUY",759.74,2026-02-23,"01:53:33"
"DE","BUY",662.49,2026-02-23,"01:53:29"
"STX","HOLD",408.97,2026-02-20,"00:00:29"
"WDC","HOLD",284.67,2026-02-19,"23:55:49"
"SNDK","HOLD",621.09,2026-02-19,"23:55:38"
"FIX","BUY",1373.52,2026-02-19,"23:55:17"
"TGT","HOLD",115.66,2026-02-19,"23:54:59"
"CAT","BUY",760.53,2026-02-19,"23:54:25"
"DE","BUY",662,2026-02-19,"23:54:13"
"WDC","HOLD",296.56,2026-02-18,"16:25:34"
"SNDK","HOLD",600.4,2026-02-18,"16:25:31"
"INTC","HOLD",45.46,2026-02-18,"16:24:53"
"NVDA","SELL",187.98,2026-02-18,"16:23:42"
"COMP","SELL",10.46,2026-02-18,"16:23:28"
"ERAS","HOLD",12.66,2026-02-18,"16:22:47"
"LLY","HOLD",1020.56,2026-02-18,"16:22:37"
"TGT","HOLD",115.66,2026-02-18,"16:22:16"
"WMT","HOLD",126.62,2026-02-18,"16:22:12"
"FIX","HOLD",1319.47,2026-02-18,"16:21:52"
"FIG","HOLD",22.02,2026-02-12,"17:17:24"
"TGT","BUY",112.69,2026-02-12,"17:17:15"
"WMT","BUY",133.64,2026-02-12,"17:17:08"
"ERAS","BUY",12.31,2026-02-12,"17:16:46"
"COMP","SELL",10.32,2026-02-12,"17:15:05"
"WDC","HOLD",284.1,2026-02-12,"17:14:59"
"SNDK","HOLD",630.29,2026-02-12,"17:14:56"
"FIX","BUY",1300.02,2026-02-12,"17:14:49"
"INTC","BUY",47.13,2026-02-10,"20:16:32"
